title,href
"[단독] 크래프톤·한화, 피지컬 AI 합작사 설립",https://www.sedaily.com/article/20018791?ref=naver
"한솔PNS, 'AW 2026' 참가…제조산업 특화 AI 플랫폼 소개",https://www.yna.co.kr/view/AKR20260313044600003?input=1195m
"삼성SDI, 피지컬AI용 전고체 배터리 첫 공개",https://weekly.donga.com/3/all/11/6134989/1
"전북에 피지컬AI·방산·수소기지…DH그룹, 1500억원 투자",https://www.newsis.com/view/NISX20260313_0003546916
포천 농가서 AI 항원 검출…닭 4만5000마리 예방적 살처분,https://www.hankyung.com/article/202603138831i
[단독]가상환경서 첨단무기 테스트…크래프톤-한화에어로 ‘AI동맹’,https://www.sedaily.com/article/20018790?ref=naver
"크래프톤-한화에어로스페이스, 피지컬 AI 동맹...합작법인 설립",http://www.edaily.co.kr/news/newspath.asp?newsid=03381686645382992
"크래프톤·한화, 합작법인 만든다…방산 피지컬 AI 사업화",https://www.newsis.com/view/NISX20260313_0003546737
크래프톤·한화에어로 ‘피지컬 AI’ 동맹…합작법인 설립,https://biz.heraldcorp.com/article/10693506?ref=naver
"크래프톤, 한화에어로스페이스와 ‘피지컬 AI’ 협력…JV 설립 추진",http://www.fnnews.com/news/202603130913094092
"노동행정도 AI로…노동부, 산재 예측 모델 첫 공개",https://www.news1.kr/economy/employment-labor/6100043
"""인간보다 성능 52% 향상""…노동부, AI 산재 예측 모델 공개",https://www.newsis.com/view/NISX20260313_0003546795
AI가 산재이력 학습해 위험사업장 선별…노동부 AX 세미나 개최,https://www.yna.co.kr/view/AKR20260312149200530?input=1195m
AI가 산재 '상위 0.6%' 선별 예측...임금체불 AI도 개발,http://www.edaily.co.kr/news/newspath.asp?newsid=03496486645382992
크래프톤이 게임AI 넘어 피지컬AI로 보폭 넓히는 이유,https://www.bloter.net/news/articleView.html?idxno=656580
"크래프톤·한화에어로, 피지컬AI 합작사 추진",https://www.yna.co.kr/view/AKR20260313041300017?input=1195m
"크래프톤, 한화에어로와 '피지컬AI' 동맹…합작법인도 설립",https://www.news1.kr/it-science/game-review/6099995
"[특징주] 크래프톤, 한화에어로와 피지컬AI 합작사 추진에 강세",https://www.yna.co.kr/view/AKR20260313065000008?input=1195m
한화에어로-크래프톤 ‘피지컬AI’ 동맹 구축한다,https://www.hani.co.kr/arti/economy/it/1249151.html
"""SK하이닉스, AI 메모리 수요 급증 최대 수혜…목표가 170만원""-KB",https://www.hankyung.com/article/2026031380026
"SK하이닉스, 목표가 170만원 상향...AI 메모리 수요 급증 수혜-KB",http://www.edaily.co.kr/news/newspath.asp?newsid=02784726645382992
